title,description,size,availability,price
Картотечный шкаф ПРАКТИК А-43,"
ВхШхГ, мм: 995х408х485
Вес, кг: 29
",['995х408х485'],Есть в наличии,17 770 руб.
Шкаф инструментальный TNC 181.4B1.2S1,"
ВхШхГ, мм: 1800х1000х500
",['1800х1000х500'],Есть в наличии,82 820 руб.
Шкаф инструментальный тяжелый AMH TC-005020,"
ВхШхГ, мм: 1850х920х460
Вес, кг: 136
",['1850х920х460'],Есть в наличии,83 620 руб.
Шкаф медицинский HILFE МД 1 1760/SG,"
ВхШхГ, мм: 1750х600х400
Вес, кг: 35.3
",['1750х600х400'],Есть в наличии,15 340 руб.
Ключница К-20 (без брелков),"
ВхШхГ, мм: 330х174х52
",['330х174х52'],Есть в наличии,1 680 руб.
Шкаф архивный ШАМ 11-20,"
ВхШхГ, мм: 2000х850х500
Вес, кг: 54
",['2000х850х500'],Есть в наличии,19 950 руб.
Шкаф офисный ШБМ-46ЭК,"
ВхШхГ, мм: 460х440х365
Вес, кг: 27
",['460х440х365'],Есть в наличии,22 850 руб.
Ключница КЛ-60 б (с брелками),"
ВхШхГ, мм: 400х350х75
Вес, кг: 5
",['400х350х75'],Есть в наличии,3 150 руб.
Шкаф для одежды ШМ-12,"
ВхШхГ, мм: 1850х300х490
Вес, кг: 18.2
",['1850х300х490'],Есть в наличии,8 990 руб.
Шкаф для одежды ШМ-24(400),"
ВхШхГ, мм: 1850х800х490
Вес, кг: 36.9
",['1850х800х490'],Есть в наличии,18 500 руб.
Шкаф для одежды ШР-24 L600,"
ВхШхГ, мм: 1850х600х500
Вес, кг: 34
",['1850х600х500'],Есть в наличии,14 150 руб.
Шкаф для сумок ШРМ-312,"
ВхШхГ, мм: 1860х900х500
Вес, кг: 55
",['1860х900х500'],Есть в наличии,21 490 руб.
Шкаф КБ-032т/КБС-032т,"
ВхШхГ, мм: 1550х470х390
Вес, кг: 47
",['1550х470х390'],Есть в наличии,17 580 руб.
Модуль для сушки обуви Союз-10Н (комплект с подставкой),"
ВхШхГ, мм: 1998х625х612
Вес, кг: 48.5
",['1998х625х612'],Есть в наличии,141 060 руб.
Шкаф для сумок ШМ-М-14 доп.,"
ВхШхГ, мм: 1850х300х490
Вес, кг: 15.6
",['1850х300х490'],Есть в наличии,9 690 руб.
Ключница KEY-1 FIRE,"
ВхШхГ, мм: 175х162х40
Вес, кг: 0.9
",['175х162х40'],Есть в наличии,1 250 руб.
Шкаф инструментальный TNC 180.B2.S4,"
ВхШхГ, мм: 1800х1000х500
Вес, кг: 70.4
",['1800х1000х500'],Есть в наличии,64 620 руб.
Шкаф медицинский 4Hospitals МСК-645.01-11 (ШМ-03),"
ВхШхГ, мм: 1840х620х400
Вес, кг: 48
",['1840х620х400'],Есть в наличии,43 600 руб.
Шкаф сушильный ШСО 2000,"
ВхШхГ, мм: 1818х800х515
Вес, кг: 53
",['1818х800х515'],Есть в наличии,60 360 руб.
Шкаф для раздевалки CL-1,"
ВхШхГ, мм: 1800х300х500
Вес, кг: 23
",['1800х300х500'],Есть в наличии,10 780 руб.
Шкаф для раздевалки ШРМ-11,"
ВхШхГ, мм: 1860х300х500
Вес, кг: 20
",['1860х300х500'],Есть в наличии,6 210 руб.
Шкаф мебельный ШМ-5,"
ВхШхГ, мм: 400х300х300
Вес, кг: 12
",['400х300х300'],Есть в наличии,6 460 руб.
Шкаф КБ-021т/КБС-021т,"
ВхШхГ, мм: 1300х420х350
Вес, кг: 35
",['1300х420х350'],Есть в наличии,12 400 руб.
Шкаф для одежды ШРС-11-400 с перегородкой,"
ВхШхГ, мм: 1850х400х500
Вес, кг: 24
",['1850х400х500'],Есть в наличии,9 310 руб.
Ключница КЛ-20С б со стеклянной дверкой (с брелками),"
ВхШхГ, мм: 285х350х55
Вес, кг: 3
",['285х350х55'],Есть в наличии,2 520 руб.
Шкаф сушильный ШСО 2000Б,"
ВхШхГ, мм: 1818х800х515
Вес, кг: 54.2
",['1818х800х515'],Есть в наличии,61 500 руб.
Шкаф инструментальный TС 1095-021020,"
ВхШхГ, мм: 1000х950х500
Вес, кг: 32.7
",['1000х950х500'],Есть в наличии,28 560 руб.
Шкаф КБ-023т/КБС-023т,"
ВхШхГ, мм: 1300х420х350
Вес, кг: 38
",['1300х420х350'],Есть в наличии,15 010 руб.
Ключница K-60 (с брелками),"
ВхШхГ, мм: 400х350х75
Вес, кг: 4
",['400х350х75'],Есть в наличии,5 100 руб.
Шкаф для одежды ШМ-36(400),"
ВхШхГ, мм: 1850х1200х490
Вес, кг: 51.5
",['1850х1200х490'],Есть в наличии,26 890 руб.
Шкаф для раздевалки ШРМ-140,"
ВхШхГ, мм: 1850х300х500
Вес, кг: 18
",['1850х300х500'],Есть в наличии,12 890 руб.
Шкаф КБ-06/КБС-06,"
ВхШхГ, мм: 1850х470х390
Вес, кг: 53
",['1850х470х390'],Есть в наличии,21 610 руб.
Шкаф КБ-031ТН/КБС-031ТН,"
ВхШхГ, мм: 1502х470х390
Вес, кг: 38
",['1502х470х390'],Есть в наличии,14 290 руб.
Шкаф ШХА/2-900(40),"
ВхШхГ, мм: 920х910х400
Вес, кг: 24
",['920х910х400'],Есть в наличии,10 360 руб.
Шкаф инструментальный TC 1095-100215,"
ВхШхГ, мм: 1000х950х500
Вес, кг: 32.7
",['1000х950х500'],Есть в наличии,41 210 руб.
Шкаф КБ-021Н/КБС-021Н,"
ВхШхГ, мм: 1252х420х350
Вес, кг: 30
",['1252х420х350'],Есть в наличии,10 670 руб.
Шкаф КБ-021ТН/КБС-021ТН,"
ВхШхГ, мм: 1252х420х350
Вес, кг: 30
",['1252х420х350'],Есть в наличии,11 240 руб.
Шкаф для сумок ШРМ-28,"
ВхШхГ, мм: 1860х614х500
Вес, кг: 42
",['1860х614х500'],Есть в наличии,14 410 руб.
Шкаф инструментальный TNC 180.B4.S2,"
ВхШхГ, мм: 1800х1000х500
Вес, кг: 70.4
",['1800х1000х500'],Есть в наличии,79 280 руб.
Шкаф сушильный RANGER 8,"
ВхШхГ, мм: 1770х1800х658
Вес, кг: 135
",['1770х1800х658'],Есть в наличии,146 460 руб.
Шкаф WORK ST 5,"
ВхШхГ, мм: 1980х1114х519
Вес, кг: 218
",['1980х1114х519'],Есть в наличии,109 770 руб.
Шкаф для кабинета врача ШКВ-05,"
ВхШхГ, мм: 1850х800х400
",['1850х800х400'],Есть в наличии,40 340 руб.
Шкаф КБ-02/КБС-02,"
ВхШхГ, мм: 320х420х350
Вес, кг: 12
",['320х420х350'],Есть в наличии,5 860 руб.
Абонентский шкаф на 27/2 ячеек,"
ВхШхГ, мм: 1870х1160х400
",['1870х1160х400'],Есть в наличии,114 510 руб.
Шкаф инструментальный ИП-2/1,"
ВхШхГ, мм: 1860х920х500
",['1860х920х500'],Есть в наличии,32 430 руб.
Шкаф с пластиковыми ящиками С2-90М,"
ВхШхГ, мм: 1820х725х250
",['1820х725х250'],Есть в наличии,79 540 руб.
Шкаф мебельный ШМ-30,"
ВхШхГ, мм: 300х380х300
Вес, кг: 9
",['300х380х300'],Есть в наличии,6 050 руб.
Шкаф инструментальный TC 1995-023000,"
ВхШхГ, мм: 1900х950х500
Вес, кг: 69.94
",['1900х950х500'],Есть в наличии,28 410 руб.
Антресоль инструментальная TNC 101.2B.4S,"
ВхШхГ, мм: 1000х1000х500
",['1000х1000х500'],Есть в наличии,46 940 руб.
Ключница K-40 (с брелками),"
ВхШхГ, мм: 400х350х75
Вес, кг: 4
",['400х350х75'],Есть в наличии,4 880 руб.
Шкаф инструментальный TC 1095-001030,"
ВхШхГ, мм: 1000х950х500
Вес, кг: 32.7
",['1000х950х500'],Есть в наличии,32 070 руб.
Ключница КЛ-20 (без брелков),"
ВхШхГ, мм: 210х350х75
Вес, кг: 3
",['210х350х75'],Есть в наличии,1 920 руб.
Ключница КЛ-60 (без брелков),"
ВхШхГ, мм: 400х350х75
Вес, кг: 4
",['400х350х75'],Есть в наличии,2 770 руб.
Шкаф ПРАКТИК LS-21-80U,"
ВхШхГ, мм: 1830х800х500
Вес, кг: 38
",['1830х800х500'],Есть в наличии,13 930 руб.
Сейф бухгалтерский ШБ-2,"
ВхШхГ, мм: 1110х400х350
Вес, кг: 45
",['1110х400х350'],Есть в наличии,18 620 руб.
Шкаф для раздевалки ШРМ-АК-У,"
ВхШхГ, мм: 1860х500х500
Вес, кг: 29
",['1860х500х500'],Есть в наличии,10 630 руб.
Шкаф ПРАКТИК AM 0891,"
ВхШхГ, мм: 832х915х458
Вес, кг: 23.5
",['832х915х458'],Есть в наличии,9 870 руб.
Шкаф для кислородного баллона ШГР 40-2-4(2х40л),"
ВхШхГ, мм: 1631х600х385
Вес, кг: 21.1
",['1631х600х385'],Есть в наличии,9 950 руб.
Шкаф для раздевалки ШРМ-АК/800,"
ВхШхГ, мм: 1860х800х500
Вес, кг: 43
",['1860х800х500'],Есть в наличии,12 340 руб.
Шкаф архивный ШХА-50(50),"
ВхШхГ, мм: 1850х490х500
Вес, кг: 32
",['1850х490х500'],Есть в наличии,12 860 руб.
Шкаф КБ-09/КБС-09,"
ВхШхГ, мм: 700х880х390
Вес, кг: 37
",['700х880х390'],Есть в наличии,15 110 руб.
Шкаф инструментальный TNC 181.2B1.2S1,"
ВхШхГ, мм: 1800х1000х500
",['1800х1000х500'],Есть в наличии,69 600 руб.
Ключница KEY-10 G (с брелками),"
ВхШхГ, мм: 302х180х40
Вес, кг: 1.8
",['302х180х40'],Есть в наличии,1 700 руб.
Шкаф инструментальный TC 1095-021010,"
ВхШхГ, мм: 1000х950х500
Вес, кг: 32.7
",['1000х950х500'],Есть в наличии,23 200 руб.
Шкаф инструментальный ИП-2-0.5,"
ВхШхГ, мм: 1020х920х500
Вес, кг: 33
",['1020х920х500'],Есть в наличии,16 210 руб.
Шкаф для паркинга 2300х2500х900 (двухсекционный),"
ВхШхГ, мм: 2300х2500х900
",['2300х2500х900'],Есть в наличии,169 890 руб.
Шкаф для одежды МД-501.02 (ШМО-МСК),"
ВхШхГ, мм: 1800х860х560
Вес, кг: 55
",['1800х860х560'],Есть в наличии,14 330 руб.
Картотечный шкаф ПРАКТИК AFC-05,"
ВхШхГ, мм: 1634x470x646
Вес, кг: 59
",['1634x470x646'],Есть в наличии,30 100 руб.
Шкаф для паркинга 2000х2150х1200 (односекционный),"
ВхШхГ, мм: 2000х2150х1200
",['2000х2150х1200'],Есть в наличии,140 680 руб.
Ключница KEY-400 (с брелками),"
ВхШхГ, мм: 600х710х90
Вес, кг: 19
",['600х710х90'],Есть в наличии,19 610 руб.
Шкаф КБ-02Н/КБС-02Н,"
ВхШхГ, мм: 320х420х350
Вес, кг: 11
",['320х420х350'],Есть в наличии,5 410 руб.
Шкаф сушильный ШСО-2000Н,"
ВхШхГ, мм: 1818х800х515
Вес, кг: 50.2
",['1818х800х515'],Есть в наличии,81 930 руб.
Шкаф инструментальный тяжелый AMH TC-004000 EL,"
ВхШхГ, мм: 1850х920х460
Вес, кг: 136
",['1850х920х460'],Есть в наличии,69 500 руб.
Шкаф медицинский ШМД-06,"
ВхШхГ, мм: 1805х605х405
",['1805х605х405'],Есть в наличии,35 560 руб.
Шкаф офисный ШБМ-120Э,"
ВхШхГ, мм: 1200х440х365
Вес, кг: 63
",['1200х440х365'],Есть в наличии,30 770 руб.
Шкаф мебельный ШМ-50Э,"
ВхШхГ, мм: 500х350х310
Вес, кг: 12
",['500х350х310'],Есть в наличии,9 760 руб.
Шкаф для сумок ШР-18 L300 (доп. секция),"
ВхШхГ, мм: 1850х300х500
Вес, кг: 20.15
",['1850х300х500'],Есть в наличии,16 370 руб.
Шкаф для паркинга 2000х1550х900 (односекционный),"
ВхШхГ, мм: 2000х1550х900
",['2000х1550х900'],Есть в наличии,100 320 руб.
Шкаф для паркинга 2300х2500х600 (двухсекционный),"
ВхШхГ, мм: 2300х2500х600
",['2300х2500х600'],Есть в наличии,153 340 руб.
Шкаф офисный ШБМ-65ЭК,"
ВхШхГ, мм: 650х440х365
Вес, кг: 39
",['650х440х365'],Есть в наличии,26 840 руб.
Шкаф инструментальный TNC 181.2B2.2S1,"
ВхШхГ, мм: 1800х1000х500
",['1800х1000х500'],Есть в наличии,79 340 руб.
Шкаф КБ-06Н/КБС-06Н,"
ВхШхГ, мм: 1802х470х390
Вес, кг: 43
",['1802х470х390'],Есть в наличии,19 590 руб.
Шкаф архивный ШХА-50(40),"
ВхШхГ, мм: 1850х485х385
Вес, кг: 28
",['1850х485х385'],Есть в наличии,12 080 руб.
Шкаф мебельный ШМ-20Э,"
ВхШхГ, мм: 200х310х200
Вес, кг: 4.8
",['200х310х200'],Есть в наличии,6 480 руб.
Ключница КЛ-40 (без брелков),"
ВхШхГ, мм: 275х350х75
Вес, кг: 3
",['275х350х75'],Есть в наличии,2 280 руб.
Шкаф для раздевалки ШРМ-212,"
ВхШхГ, мм: 1850х600х500
Вес, кг: 31
",['1850х600х500'],Есть в наличии,15 880 руб.
Сейф бухгалтерский МБ-21К,"
ВхШхГ, мм: 1280х450х350
Вес, кг: 55
",['1280х450х350'],Есть в наличии,25 220 руб.
Шкаф Valberg (BRANDMAUER) BM-1993KL,"
ВхШхГ, мм: 1950х930х520
Вес, кг: 129
",['1950х930х520'],Есть в наличии,101 390 руб.
Шкаф для одежды ШМ-22(600),"
ВхШхГ, мм: 1850х600х490
Вес, кг: 31.8
",['1850х600х490'],Есть в наличии,13 400 руб.
Антресоль к Шкафу А-6/400,"
ВхШхГ, мм: 850х600х400
Вес, кг: 16.4
",['850х600х400'],Есть в наличии,8 500 руб.
Шкаф для сумок CL-14S,"
ВхШхГ, мм: 1800х300х500
Вес, кг: 27
",['1800х300х500'],Есть в наличии,11 110 руб.
Шкаф инструментальный ВЛ-052-05,"
ВхШхГ, мм: 2000х1024х625
Вес, кг: 81
",['2000х1024х625'],Есть в наличии,71 800 руб.
Шкаф для раздевалки CL-1-400,"
ВхШхГ, мм: 1800х400х500
Вес, кг: 30
",['1800х400х500'],Есть в наличии,13 060 руб.
Шкаф мебельный ШМ-25,"
ВхШхГ, мм: 250х350х250
Вес, кг: 6.5
",['250х350х250'],Есть в наличии,5 030 руб.
Шкаф для раздевалок WL 11-30 голубой/белый,"
ВхШхГ, мм: 1900х300х500
Вес, кг: 29.67
",['1900х300х500'],Есть в наличии,7 210 руб.
Ключница SKE-100 (100 ключей) с брелками,"
ВхШхГ, мм: 650х450х100
Вес, кг: 10.5
",['650х450х100'],Есть в наличии,14 660 руб.
Ключница KEY-40 G (с брелками),"
ВхШхГ, мм: 502х367х40
Вес, кг: 3.9
",['502х367х40'],Есть в наличии,3 990 руб.
Шкаф КБ-011ТН/КБС-011ТН,"
ВхШхГ, мм: 612х420х350
Вес, кг: 18
",['612х420х350'],Есть в наличии,7 800 руб.
Шкаф для паркинга 2000х3100х600 (двухсекционный),"
ВхШхГ, мм: 2000х3100х600
",['2000х3100х600'],Есть в наличии,164 240 руб.
Шкаф для раздевалки ШРМ-120,"
ВхШхГ, мм: 1850х300х500
Вес, кг: 16
",['1850х300х500'],Есть в наличии,11 360 руб.
Антресоль инструментальная TNC 101.4S,"
ВхШхГ, мм: 1000х1000х500
",['1000х1000х500'],Есть в наличии,33 720 руб.
Шкаф КБ-10Н/КБС-10Н,"
ВхШхГ, мм: 1850х880х390
Вес, кг: 83
",['1850х880х390'],Есть в наличии,30 320 руб.
Шкаф архивный ШХА-900(40),"
ВхШхГ, мм: 1850х910х400
Вес, кг: 42
",['1850х910х400'],Есть в наличии,15 550 руб.
Шкаф мебельный ШМ-30Э,"
ВхШхГ, мм: 300х380х300
Вес, кг: 9
",['300х380х300'],Есть в наличии,8 050 руб.
Шкаф для паркинга 2300х950х900 (односекционный),"
ВхШхГ, мм: 2300х950х900
",['2300х950х900'],Есть в наличии,84 830 руб.
Шкаф медицинский ШМД-07,"
ВхШхГ, мм: 1800х600х400
",['1800х600х400'],Есть в наличии,36 830 руб.
Ключница KEY-80 (с брелками),"
ВхШхГ, мм: 500х355х59
Вес, кг: 4.7
",['500х355х59'],Есть в наличии,3 620 руб.
Шкаф КБ-012т/КБС-012т,"
ВхШхГ, мм: 660х420х350
Вес, кг: 21
",['660х420х350'],Есть в наличии,9 230 руб.
Ключница K-130 (с брелками),"
ВхШхГ, мм: 600х450х90
Вес, кг: 7.4
",['600х450х90'],Есть в наличии,9 520 руб.
Шкаф для раздевалки ШРМ-420,"
ВхШхГ, мм: 1850х1200х500
Вес, кг: 53
",['1850х1200х500'],Есть в наличии,32 770 руб.
Шкаф офисный ШБМ-120ЭК,"
ВхШхГ, мм: 1200х440х365
Вес, кг: 63
",['1200х440х365'],Есть в наличии,40 920 руб.
Шкаф для раздевалок WL 14-40 голубой/белый,"
ВхШхГ, мм: 1900х400х500
Вес, кг: 42.18
",['1900х400х500'],Есть в наличии,12 690 руб.
Шкаф КБ-041ТН/КБС-041ТН,"
ВхШхГ, мм: 912х420х350
Вес, кг: 24
",['912х420х350'],Есть в наличии,9 430 руб.
Ключница КЛ-40С б со стеклянной дверкой (с брелками),"
ВхШхГ, мм: 535х350х55
Вес, кг: 4
",['535х350х55'],Есть в наличии,3 730 руб.
Картотечный шкаф КД-624,"
ВхШхГ, мм: 1300х786х600
Вес, кг: 75
",['1300х786х600'],Есть в наличии,48 150 руб.
Шкаф инструментальный TC-1995-041040,"
ВхШхГ, мм: 1900х950х500
Вес, кг: 89.81
",['1900х950х500'],Есть в наличии,47 320 руб.
Шкаф Valberg (BRANDMAUER) BM-1260 ЕL,"
ВхШхГ, мм: 1220х600х520
Вес, кг: 71.5
",['1220х600х520'],Есть в наличии,67 810 руб.
Шкаф мебельный ШМ-23Э,"
ВхШхГ, мм: 229х405х335
Вес, кг: 8.5
",['229х405х335'],Есть в наличии,7 660 руб.
Картотечный шкаф ПРАКТИК А1-05/0 (база),"
ВхШхГ, мм: 491х1010х691
Вес, кг: 70
",['491х1010х691'],Есть в наличии,41 040 руб.
Шкаф КБ-031т/КБС-031т,"
ВхШхГ, мм: 1550х470х390
Вес, кг: 48
",['1550х470х390'],Есть в наличии,15 760 руб.
Шкаф офисный ШБМ-90Э,"
ВхШхГ, мм: 900х440х365
Вес, кг: 50
",['900х440х365'],Есть в наличии,27 740 руб.
Ключница КЛ-40С со стеклянной дверкой (без брелков),"
ВхШхГ, мм: 535х350х55
Вес, кг: 4
",['535х350х55'],Есть в наличии,3 480 руб.
Шкаф КБ-021/КБС-021,"
ВхШхГ, мм: 1300х420х350
Вес, кг: 35
",['1300х420х350'],Есть в наличии,11 770 руб.
Шкаф архивный ШАМ - 12/1320,"
ВхШхГ, мм: 1320х425х500
Вес, кг: 24
",['1320х425х500'],Есть в наличии,9 020 руб.
Картотечный шкаф ПРАКТИК A1-05/2 (промежуточная секция),"
ВхШхГ, мм: 389х1010х691
Вес, кг: 60
",['389х1010х691'],Есть в наличии,41 040 руб.
Абонентский шкаф Практик AMB 180/60,"
ВхШхГ, мм: 1800х600х373
Вес, кг: 102
",['1800х600х373'],Есть в наличии,84 470 руб.
Шкаф сушильный ШС Сахара 5,"
ВхШхГ, мм: 1970х1500х600
Вес, кг: 189.5
",['1970х1500х600'],Есть в наличии,123 360 руб.
Шкаф мебельный ШМ-24Э,"
ВхШхГ, мм: 230х450х400
Вес, кг: 15
",['230х450х400'],Есть в наличии,9 200 руб.
Шкаф инструментальный TC 1095-100302,"
ВхШхГ, мм: 1000х950х500
Вес, кг: 32.7
",['1000х950х500'],Есть в наличии,25 540 руб.
Шкаф для газовых баллонов ШГР 50-1-4(50л),"
ВхШхГ, мм: 1100х400х385
Вес, кг: 12.4
",['1100х400х385'],Есть в наличии,5 900 руб.
Шкаф инструментальный TNC 180.S3,"
ВхШхГ, мм: 1800х1000х500
Вес, кг: 70.4
",['1800х1000х500'],Есть в наличии,42 710 руб.
